file,patch,size_mb,games_est,deaths,spells,attacks,damage,items,n_champs,champs
batch_012.jsonl.gz,12_22,1356.9,16,0,46247,41626,413605,2837,86,aatrox|akali|alistar|aphelios|azir|bard|blitzcrank|caitlyn|camille|cassiopeia|darius|diana|drmundo|ekko|evelynn|ezreal|fiora|gangplank|gnar|graves|hecarim|heimerdinger|irelia|jarvaniv|jax|jhin|jinx|kaisa|kalista|karthus|kassadin|katarina|kayn|kindred|kogmaw|ksante|leona|lillia|lucian|lux|masteryi|monkeyking|nami|nilah|olaf|orianna|ornn|pantheon|qiyana|reksai|renata|renekton|riven|rumble|samira|sett|shyvana|singed|sivir|sona|soraka|swain|sylas|syndra|tahmkench|talon|teemo|thresh|tristana|tryndamere|twistedfate|udyr|varus|vayne|veigar|velkoz|vex|viego|vladimir|xayah|xinzhao|yone|yuumi|zac|zilean|zoe
batch_011.jsonl.gz,12_22,1936.3,24,0,64553,60760,595931,4160,114,aatrox|ahri|alistar|anivia|aphelios|ashe|aurelionsol|azir|bard|belveth|blitzcrank|brand|caitlyn|camille|corki|darius|diana|draven|drmundo|ekko|elise|evelynn|ezreal|fiddlesticks|fiora|fizz|galio|gangplank|garen|gnar|gragas|graves|hecarim|heimerdinger|illaoi|irelia|jax|jayce|jhin|jinx|kaisa|kalista|karma|kassadin|katarina|kayle|kayn|khazix|kindred|ksante|lillia|lissandra|lucian|lulu|malzahar|maokai|missfortune|monkeyking|mordekaiser|morgana|nami|nasus|nautilus|nilah|olaf|orianna|ornn|pantheon|poppy|pyke|qiyana|rakan|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|singed|sona|soraka|swain|sylas|syndra|tahmkench|taliyah|teemo|thresh|tristana|trundle|tryndamere|twitch|varus|vayne|velkoz|vex|vi|viego|viktor|vladimir|volibear|xinzhao|yasuo|yone|zac|zed|ziggs|zoe|zyra
batch_015.jsonl.gz,12_22,1233.2,15,0,42832,37443,373164,2450,82,aatrox|ahri|akali|aphelios|ashe|bard|blitzcrank|brand|caitlyn|chogath|corki|darius|diana|draven|drmundo|ekko|ezreal|fiora|fizz|galio|graves|gwen|hecarim|heimerdinger|irelia|janna|jhin|jinx|kaisa|karma|karthus|kayn|khazix|kindred|ksante|lucian|lulu|malzahar|masteryi|monkeyking|mordekaiser|nami|nasus|nidalee|nunu|orianna|ornn|pyke|rell|renata|renekton|rengar|riven|ryze|seraphine|sett|singed|sivir|sona|sylas|syndra|tahmkench|thresh|tryndamere|twitch|udyr|urgot|varus|vayne|vex|vi|viego|viktor|vladimir|xayah|xerath|xinzhao|yasuo|yone|yuumi|zed|zoe
batch_018.jsonl.gz,12_22,1311.4,16,0,45347,40094,405094,2807,81,aatrox|amumu|anivia|aphelios|ashe|aurelionsol|azir|camille|corki|darius|diana|draven|ekko|elise|evelynn|ezreal|fiora|gangplank|graves|heimerdinger|irelia|janna|jax|jayce|jhin|kaisa|karma|kayn|kennen|khazix|kindred|kogmaw|ksante|leona|lillia|lucian|lulu|masteryi|nami|nautilus|nidalee|nilah|nocturne|pyke|quinn|reksai|renata|renekton|rengar|riven|ryze|samira|sejuani|seraphine|singed|sivir|sona|soraka|swain|sylas|syndra|teemo|thresh|tristana|tryndamere|twitch|udyr|varus|vex|viego|viktor|vladimir|warwick|xayah|xinzhao|yone|yorick|yuumi|zed|zoe|zyra
batch_013.jsonl.gz,12_22,1938.2,25,0,65802,60313,588424,4143,111,aatrox|akali|amumu|anivia|aphelios|ashe|azir|bard|blitzcrank|brand|caitlyn|camille|cassiopeia|chogath|corki|darius|diana|draven|drmundo|ekko|elise|ezreal|fiddlesticks|fiora|fizz|gangplank|garen|gnar|gragas|graves|gwen|hecarim|heimerdinger|irelia|jax|jhin|jinx|kaisa|kalista|karma|karthus|katarina|kayn|kennen|khazix|kindred|ksante|leblanc|leesin|leona|lillia|lissandra|lucian|lulu|lux|malzahar|masteryi|missfortune|monkeyking|mordekaiser|morgana|nami|nasus|nautilus|nidalee|nilah|olaf|ornn|pantheon|poppy|pyke|qiyana|reksai|rell|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|shaco|shyvana|singed|sona|soraka|swain|sylas|syndra|taliyah|taric|teemo|thresh|tristana|tryndamere|varus|vayne|veigar|viego|viktor|vladimir|xerath|xinzhao|yone|yuumi|zed|zoe
batch_014.jsonl.gz,12_22,1971.9,24,0,69234,62605,602520,4178,108,aatrox|akali|alistar|amumu|aphelios|ashe|azir|bard|blitzcrank|caitlyn|camille|cassiopeia|darius|diana|draven|drmundo|ekko|evelynn|ezreal|fiora|fizz|gangplank|gragas|graves|hecarim|heimerdinger|illaoi|irelia|ivern|janna|jax|jayce|jhin|jinx|kaisa|karma|karthus|kassadin|katarina|kennen|khazix|kindred|kled|ksante|leesin|leona|lillia|lucian|lulu|maokai|masteryi|missfortune|monkeyking|mordekaiser|nami|nasus|nidalee|nilah|pyke|rakan|rammus|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|senna|sett|shaco|shen|singed|sion|sona|soraka|swain|sylas|syndra|taliyah|talon|thresh|tristana|trundle|tryndamere|twitch|udyr|varus|vayne|velkoz|vi|viego|viktor|vladimir|volibear|xayah|xerath|xinzhao|yasuo|yone|yorick|yuumi|zed|ziggs|zilean|zoe|zyra
batch_016.jsonl.gz,12_22,1940.8,24,0,69569,62433,606723,4397,101,aatrox|ahri|akali|amumu|aphelios|ashe|bard|belveth|blitzcrank|brand|caitlyn|camille|cassiopeia|darius|diana|draven|ekko|ezreal|fiora|fizz|gangplank|garen|gragas|graves|gwen|hecarim|heimerdinger|irelia|ivern|jax|jayce|jhin|jinx|kaisa|kalista|karma|kassadin|katarina|kayn|kennen|khazix|kindred|ksante|leblanc|leesin|lucian|lulu|missfortune|monkeyking|nami|nasus|nautilus|neeko|nidalee|ornn|pantheon|poppy|pyke|rakan|renata|renekton|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|shen|shyvana|singed|sion|sona|sylas|syndra|tahmkench|talon|taric|teemo|thresh|tristana|tryndamere|udyr|varus|vayne|vex|vi|viego|viktor|volibear|warwick|xayah|xerath|xinzhao|yasuo|yone|zed|zeri|ziggs|zyra
batch_017.jsonl.gz,12_22,1946.1,23,0,64822,61028,592451,4007,102,aatrox|akali|alistar|aphelios|ashe|bard|blitzcrank|caitlyn|camille|cassiopeia|chogath|corki|darius|diana|draven|ekko|elise|evelynn|ezreal|fiora|fizz|galio|gangplank|gragas|graves|hecarim|heimerdinger|illaoi|irelia|janna|jarvaniv|jax|jayce|jhin|kaisa|karma|kassadin|katarina|kayn|khazix|kindred|kled|kogmaw|leblanc|leesin|lucian|lulu|lux|maokai|masteryi|monkeyking|mordekaiser|morgana|nami|nautilus|nidalee|nocturne|orianna|ornn|pyke|rakan|rammus|rell|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|sett|shen|shyvana|singed|sion|sivir|sona|soraka|swain|sylas|syndra|tahmkench|taliyah|thresh|tristana|trundle|tryndamere|twistedfate|twitch|udyr|varus|vayne|viego|xayah|xerath|xinzhao|yasuo|yone|yuumi|zed|zyra
batch_020.jsonl.gz,12_22,1929.0,24,0,64127,60967,583645,4216,102,aatrox|ahri|akali|akshan|aphelios|ashe|azir|bard|belveth|blitzcrank|brand|caitlyn|camille|corki|darius|diana|draven|ekko|elise|evelynn|ezreal|fiora|gangplank|garen|gnar|gragas|graves|gwen|hecarim|heimerdinger|irelia|jax|kaisa|kalista|karma|katarina|kayn|khazix|kindred|kogmaw|ksante|leesin|lillia|lissandra|lucian|lulu|lux|malzahar|maokai|missfortune|monkeyking|nami|nautilus|neeko|nilah|orianna|ornn|pantheon|pyke|qiyana|quinn|rakan|rammus|reksai|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|shen|singed|soraka|swain|sylas|syndra|talon|taric|thresh|tristana|tryndamere|twitch|varus|vayne|vex|viego|viktor|vladimir|volibear|xayah|xinzhao|yone|yuumi|zac|zed|zoe|zyra
batch_019.jsonl.gz,12_22,1934.3,24,0,63545,61121,578808,4013,104,aatrox|akali|akshan|anivia|aphelios|ashe|azir|bard|blitzcrank|brand|caitlyn|camille|cassiopeia|chogath|corki|darius|diana|draven|drmundo|ekko|elise|ezreal|fiora|fizz|galio|gangplank|gragas|graves|gwen|hecarim|heimerdinger|janna|jarvaniv|jax|jhin|jinx|kaisa|kalista|karma|karthus|kassadin|katarina|kayle|kindred|kogmaw|ksante|leona|lucian|lulu|lux|malphite|masteryi|missfortune|monkeyking|mordekaiser|nami|nautilus|neeko|nidalee|nilah|nocturne|nunu|orianna|pantheon|pyke|qiyana|rakan|rell|renata|rengar|riven|samira|sejuani|seraphine|sett|shyvana|singed|sion|sona|swain|sylas|syndra|talon|thresh|tristana|tryndamere|twistedfate|twitch|udyr|urgot|varus|vi|viego|viktor|warwick|xayah|xinzhao|yasuo|yuumi|zac|zed|zeri|zoe|zyra
